Time = 0.001165	RadiusMinRho = 0.00227127	Min(rho) = 0.168223
Time = 0.00117	RadiusMinRho = 0.00228119	Min(rho) = 0.16823
Time = 0.001175	RadiusMinRho = 0.0022913	Min(rho) = 0.168221
Time = 0.00118	RadiusMinRho = 0.00230135	Min(rho) = 0.16823
Time = 0.001185	RadiusMinRho = 0.00231159	Min(rho) = 0.168233
Time = 0.00119	RadiusMinRho = 0.00232178	Min(rho) = 0.168241
Time = 0.001195	RadiusMinRho = 0.00233221	Min(rho) = 0.168239
Time = 0.0012	RadiusMinRho = 0.00234256	Min(rho) = 0.16824
Time = 0.001205	RadiusMinRho = 0.00235308	Min(rho) = 0.168251
Time = 0.00121	RadiusMinRho = 0.00236355	Min(rho) = 0.168258
Time = 0.001215	RadiusMinRho = 0.00237425	Min(rho) = 0.168257
Time = 0.00122	RadiusMinRho = 0.0023849	Min(rho) = 0.168264
Time = 0.001225	RadiusMinRho = 0.00239562	Min(rho) = 0.168279
Time = 0.00123	RadiusMinRho = 0.00240638	Min(rho) = 0.168285
Time = 0.001235	RadiusMinRho = 0.00241734	Min(rho) = 0.168292
Time = 0.00124	RadiusMinRho = 0.00242827	Min(rho) = 0.168299
Time = 0.001245	RadiusMinRho = 0.00243936	Min(rho) = 0.168292
Time = 0.00125	RadiusMinRho = 0.00245051	Min(rho) = 0.168286
Time = 0.001255	RadiusMinRho = 0.00246179	Min(rho) = 0.168282
Time = 0.00126	RadiusMinRho = 0.00247304	Min(rho) = 0.168286
Time = 0.001265	RadiusMinRho = 0.00248444	Min(rho) = 0.168295
Time = 0.00127	RadiusMinRho = 0.00249577	Min(rho) = 0.168308
Time = 0.001275	RadiusMinRho = 0.00250739	Min(rho) = 0.168302
Time = 0.00128	RadiusMinRho = 0.00251895	Min(rho) = 0.168313
Time = 0.001285	RadiusMinRho = 0.00253057	Min(rho) = 0.168315
Time = 0.00129	RadiusMinRho = 0.00254232	Min(rho) = 0.168314
Time = 0.001295	RadiusMinRho = 0.00255414	Min(rho) = 0.168312
